Temperature (°F),Dew Point (°F),Humidity (%),Wind Speed (mph),Pressure (in),Precipitation (in),Date
88.8,74.5,63.4,8.9,28.8,0.00,2023-07-01
91.5,75.8,61.3,6.7,28.8,0.00,2023-07-02
91.7,77.0,63.7,11.0,28.8,0.00,2023-07-03
88.5,74.3,64.0,13.0,28.7,0.00,2023-07-04
76.0,72.9,90.2,15.0,28.8,0.00,2023-07-05
79.1,73.0,81.7,12.7,28.8,0.00,2023-07-06
84.3,75.2,75.0,9.5,28.9,0.00,2023-07-07
78.0,74.7,90.4,11.9,27.1,0.00,2023-07-08
79.0,74.1,85.3,11.2,28.8,0.00,2023-07-09
83.8,73.4,72.7,9.6,28.8,0.00,2023-07-10
87.0,74.5,67.8,7.2,28.2,0.00,2023-07-11
87.5,75.5,68.3,9.5,28.8,0.00,2023-07-12
86.5,75.1,69.1,9.3,28.8,0.00,2023-07-13
89.0,77.1,68.3,10.8,28.8,0.00,2023-07-14
88.3,77.7,70.6,7.1,28.8,0.00,2023-07-15
84.1,77.7,81.0,10.4,28.8,0.00,2023-07-16
88.6,78.1,71.3,6.9,28.8,0.00,2023-07-17
89.4,80.1,73.8,10.2,28.8,0.00,2023-07-18
84.4,79.8,85.3,11.3,28.8,0.00,2023-07-19
88.2,79.8,76.0,5.3,28.8,0.00,2023-07-20
86.5,78.9,77.9,9.4,28.8,0.00,2023-07-21
79.3,76.0,90.3,12.0,26.6,0.00,2023-07-22
86.6,75.8,71.2,8.1,28.9,0.00,2023-07-23
87.3,78.2,74.3,7.5,28.9,0.00,2023-07-24
85.2,75.9,75.2,7.3,28.9,0.00,2023-07-25
86.9,78.9,77.4,8.1,28.9,0.00,2023-07-26
82.9,77.1,83.7,7.5,28.9,0.00,2023-07-27
86.3,76.7,73.8,7.4,28.8,0.00,2023-07-28
80.3,75.2,85.1,8.7,28.8,0.00,2023-07-29
85.6,75.5,73.3,3.2,28.8,0.00,2023-07-30
90.0,76.0,64.3,5.2,28.7,0.00,2023-07-31
86.7,78.7,77.2,6.3,28.7,0.00,2023-08-01
88.8,78.2,71.5,6.7,28.7,0.00,2023-08-02
88.2,76.9,69.9,5.2,28.7,0.00,2023-08-03
91.7,78.4,65.5,8.3,28.8,0.00,2023-08-04
86.9,77.5,73.6,7.6,28.8,0.00,2023-08-05
90.5,77.8,66.7,7.5,28.7,0.00,2023-08-06
